filename,source_path,target_path,category,category_folder,year,quarter,operation,timestamp,source_file,Movimientos de Tesoreria,Importe,Resultado Artículo 44,Estado de Situacion Patrimonial,Saldo,total_budget,revenues,expenses,executed_infra,personnel,execution_rate,"R.A.F.A.M. Hoja: 1 de 1
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
18/09/202320:31
Municipalidad de Del 02/01/2023 al 30/06/2023
Ejercicio 2023
Carmen de Areco
:",Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,"R.A.F.A.M. Hoja: 1 de 2
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
10/07/2025 10:32
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 02/01/2025 al 30/06/2025 Ejercicio 2025
:","R.A.F.A.M. Hoja: 2 de 2
ESTADO DE EJECUCION DEL PRESUPUESTO DE GASTOS
10/07/2025 10:32
(CON PERSPECTIVA DE GÉNERO)
Municipalidad de
Carmen de Areco Del 02/01/2025 al 30/06/2025 Ejercicio 2025
:",Year,Category,File Type,Filename,Relative Path,Official URL,File Size,file_type,size_bytes,created_date,modified_date,sha256_hash,relative_path,document_type,estimated_category,priority,keywords,official_url,archive_url,tables_found,source_url,title,extraction_method,extracted_at,Description,Size (bytes),Extension,Power BI Budgeted,Power BI Executed,PDF Documents,id,url,source,type,description,size_mb,last_modified,extracted_content
Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-con-Perspectiva-de-Genero-Junio.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,,Q1,copied,2025-09-26T20:17:34.031741,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Municipal_Documents/General/Unknown_Year/GASTOS-POR-FUENTE-DE-FINANCIAMIENTO.pdf,Documentos Municipales,Municipal_Documents/General,,,copied,2025-09-26T20:17:34.032498,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estado-de-Ejecucion-de-Recursos-Marzo.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/Unknown_Year/Estado-de-Ejecucion-de-Recursos-Marzo.pdf,Ejecución de Recursos,Economic_Reports/Revenue_Execution,,,copied,2025-09-26T20:17:34.033342,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-copia.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-copia.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,,,copied,2025-09-26T20:17:34.033790,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,,3Q,copied,2025-09-26T20:17:34.034262,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-copia.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-copia.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,,,copied,2025-09-26T20:17:34.034666,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2022/ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,2022.0,,copied,2025-09-26T20:17:34.035109,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Revenue_Execution/2023/ESTADO-DE-EJECUCION-DE-RECURSOS-POR-PROCEDENCIA-2023-4°TRI.pdf,Ejecución de Recursos,Economic_Reports/Revenue_Execution,2023.0,4Q,copied,2025-09-26T20:17:34.035542,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/2022/ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,2022.0,,copied,2025-09-26T20:17:34.035925,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf,/Users/flong/Developer/cda-transparencia/data/organized_by_category/organization_log.csv,/Users/flong/Developer/cda-transparencia/data/organized_by_category/Economic_Reports/Budget_Execution/Unknown_Year/Estado-de-Ejecucion-de-Gastos-por-Caracter-Economico-Marzo.pdf,Ejecución de Gastos,Economic_Reports/Budget_Execution,,,copied,2025-09-26T20:17:34.036666,organization_log.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
