"year","quarter","category","subcategory","title","url","file_type","size_kb","is_official","created_at"
"2025","Q1","resource_execution","","Estado de Ejecución de Recursos Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Estado-de-Ejecucion-de-Recursos-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q1","resource_execution","by_source","Estado de Ejecución de Recursos por Procedencia Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q1","resource_execution","by_economic_character","Estado de Ejecución de Recursos por Carácter Económico Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q1","resource_execution","affected_vs_expenses","Estado de Ejecución de Recursos Afectados Vs Gastos Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q1","expenditure_execution","","Estado de Ejecución de Gastos Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Estado-de-Ejecucion-de-Gastos-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q1","financial_position","","Situación Económica Financiera Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Situacion-Economico-Financiera-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q1","financial_position","savings_investment","Cuenta Ahorro Inversión Financiamiento Marzo","http://carmendeareco.gob.ar/wp-content/uploads/2025/04/Cuenta-Ahorro-Inversion-Financiamiento-Marzo.pdf","PDF",0,"TRUE","2025-04-01"
"2025","Q2","resource_execution","","Estado de Ejecución de Recursos Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Recursos-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","resource_execution","by_source","Estado de Ejecución de Recursos por Procedencia Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Recursos-por-Procedencia-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","resource_execution","by_economic_character","Estado de Ejecución de Recursos por Carácter Económico Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Recursos-por-Caracter-Economico-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","resource_execution","affected_vs_expenses","Estado de Ejecución de Recursos Afectados Vs Gastos Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Recursos-Afectados-vs-Gastos-Junio.pdf","PDF",0,"TRUE","2025-07-01"
"2025","Q2","expenditure_execution","","Estado de Ejecución de Gastos Junio","http://carmendeareco.gob.ar/wp-content/uploads/2025/07/Estado-de-Ejecucion-de-Gastos-Junio.pdf","PDF",0,"TRUE","2025-07-01"
