Filename,Directory,ExtractedText,DatePatternsFound,PotentialDateRanges
"Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 1279_2022 de la Subsecretaria Técnica, Administrativa y Legal del Ministerio de Salud.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"Resolución 79_2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"SERVICIOS PUBLICOS 2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-1.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 79_2022 del Administración General del Instituto de la Vivienda.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"Resolución 1146_2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-CON-PERSPECTIVA-DE-GENERO-3°TRIMESTRE.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-RECURSOS-AFECTADOS-VS-GASTOS-4°TRE-2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-4°TRE-2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-4°TRE-2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"NOTAS MONITOREO 2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"Sistema de Información Normativa y Documental Malvinas Argentinas - Resolución 747_2022 del Ministerio de Producción, Ciencia e Innovación Tecnológica.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"Resolución 1593_2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-RECURSOS.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-POR-FUENTE-DE-FINANCIAMIENTO-1.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"CAIF-1.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-POR-CARACTER-ECONOMICO-1.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"ESTADO-DE-EJECUCION-DE-GASTOS-POR-FINALIDAD-Y-FUNCION-1.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"MONITOREO 2022.pdf","2022","TEXT_EXTRACTION_FAILED","",""
"CAIF-2.pdf","2022","TEXT_EXTRACTION_FAILED","",""
